"name","description","address","phone","url","town"
"Grooming Room","Dog Clipping and Grooming in Dumfries","Main Road Locharbriggs Dumfries Dumfriesshire DG1 1RY","+441387711111","https://directory.independent.co.uk/company/grooming-room/3677665","Dumfries"
"Emmas Grooming","Dog Clipping and Grooming in Southampton","89b Burgess Road Southampton Hampshire SO16 7AJ","+447966661990","https://directory.independent.co.uk/company/emmas-grooming/3692752","Southampton"
"Tangles Dog Salon","Dog Clipping and Grooming in Coventry","141 Fir Tree Avenue Coventry West Midlands CV4 9FL","+442476474480","https://directory.independent.co.uk/company/tangles-dog-salon/4356432","Coventry"
"Victoria Elizabeth Properties Ltd","Dog Clipping and Grooming in Uxbridge","265 Long Lane Hillingdon Uxbridge Middlesex UB10 9JR","+441895254747","https://directory.independent.co.uk/company/victoria-elizabeth-properties-ltd/5265359","Uxbridge"
"Posh Paws 'N' Claws","Dog Clipping and Grooming in Northampton","12 Barnard Close Northampton Northamptonshire NN5 6LB","+441604751448","https://directory.independent.co.uk/company/posh-paws-n-claws/4695167","Northampton"
"Hot Dogz Grooming Salon","Dog Clipping and Grooming in Falkirk","67b Grahams Road Falkirk Stirlingshire FK2 7DJ","+441324630333","https://directory.independent.co.uk/company/hot-dogz-grooming-salon/3000615","Falkirk"
"Canine Cuts","Dog Clipping and Grooming in Aberdeen","37 Summerhill Drive Aberdeen Aberdeenshire AB15 6EQ","+441224311700","https://directory.independent.co.uk/company/canine-cuts/2405113","Aberdeen"
"Ragamuffins Leeds Ltd","Dog Clipping and Grooming in Leeds (West Yorkshire)","5c Marsh Street Rothwell Leeds West Yorkshire LS26 0AG","+441132822715","https://directory.independent.co.uk/company/ragamuffins-leeds-ltd/10551057","Rothwell"
"Indijazz","Dog Clipping and Grooming in Banbury","12 Hampton Drive Kings Sutton Banbury Oxfordshire OX17 3QR","+441295810300","https://directory.independent.co.uk/company/indijazz/12442557","Banbury"
"Sniff Canine Beauticians","Dog Clipping and Grooming in Ossett","47 Dale Street Ossett West Yorkshire WF5 9HE","+441924283388","https://directory.independent.co.uk/company/sniff-canine-beauticians/948894","Ossett"
"The Grooming Shed","Dog Clipping and Grooming in Inverkeithing","10 Mucklehill Park Inverkeithing Fife KY11 1BX","+447534963800","https://directory.independent.co.uk/company/the-grooming-shed/12443657","Inverkeithing"
"Tubds & Suds Pooch Parlour","Dog Clipping and Grooming in Nottingham","Bell Cottage 10a Station Road Kimberley Nottingham Nottinghamshire NG16 2NR","+441159459807","https://directory.independent.co.uk/company/tubds-andamp-suds-pooch-parlour/12334257","Kimberley"
"K-Nine Care","Dog Clipping and Grooming in Winsford (Cheshire)","85 Delamere Street Winsford Cheshire CW7 2LX","+441606861966","https://directory.independent.co.uk/company/k-nine-care/11551090","Winsford"
"Muddy Paws","Dog Clipping and Grooming in Surbiton","450 Ewell Road     Surbiton Surrey KT6 7EL","+442083906284","https://directory.independent.co.uk/company/muddy-paws/14907710","Surbiton"
"ALL4PAWS","Dog Clipping and Grooming in Huddersfield","Parkwood Road Golcar Huddersfield West Yorkshire HD7 4QW","+447903723462","https://directory.independent.co.uk/company/all4paws/21614781","Huddersfield"
"The Mobile Dog Groomers","Dog Clipping and Grooming in Norwich","8 Home Farm Business Park Norwich Road Marsham Norwich Norfolk NR10 5PQ","+447393738504","https://directory.independent.co.uk/company/the-mobile-dog-groomers/20007499","Norwich"
"Northenden Grooming Parlour","Dog Clipping and Grooming in Manchester","273 Palatine Road Manchester M22 4ET","+441619984038","https://directory.independent.co.uk/company/northenden-grooming-parlour/20825457","Manchester"
"Dazzling Dogs","Dog Clipping and Grooming in Birmingham","905 Aldridge Road Great Barr Birmingham West Midlands B44 8NS","+441213602709","https://directory.independent.co.uk/company/dazzling-dogs/20740657","Birmingham"
"Scented Bliss Candles","Dog Clipping and Grooming in Bicester","East Hawthorn Road Ambrosden Bicester Oxfordshire OX25 2SN","+447414678312","https://directory.independent.co.uk/company/scented-bliss-candles/20154057","Bicester"
"Naturally Blueberries","Dog Clipping and Grooming in Hartlepool","1b Thornville Road Hartlepool Cleveland TS26 8DZ","+441429861548","https://directory.independent.co.uk/company/naturally-blueberries/20263757","Hartlepool"
"Absolutely Furfect Dog Grooming","Dog Clipping and Grooming in Westerham","Kemsley Road Tatsfield Westerham Kent TN16 2BH","+442084050894","https://directory.independent.co.uk/company/absolutely-furfect-dog-grooming/20723457","Westerham"
"Mucky Pups","Dog Clipping and Grooming in Dronfield","31 Chesterfield Road Dronfield Derbyshire S18 2XA","+447429378112","https://directory.independent.co.uk/company/mucky-pups/20468757","Dronfield"
"Posh Paws","Dog Clipping and Grooming in Swadlincote","68 Linton Heath Linton Swadlincote Derbyshire DE12 6PD","+441283761827","https://directory.independent.co.uk/company/posh-paws/20680757","Swadlincote"
"SMARTPETS GROOMING AND INTERNATIONAL ANIMAL CARE COLLEGE","Dog Clipping and Grooming in Bangor (County Down)","Unit 41 8 Balloo Drive Dunlop Ind Units Behind Cascade Blinds Bangor County Down BT19 7QY","+447958005869","https://directory.independent.co.uk/company/smartpets-grooming-and-international-animal-care-college/3634750","Bangor"
"Jacko's Fluff Yer Pups Professional Dog Grooming Service ","Dog Clipping and Grooming in Driffield (North Humberside)","9 Thorndale Croft Wetwang Wetwang Driffield North Humberside YO25 9XZ","+447399511829","https://directory.independent.co.uk/company/jacko-s-fluff-yer-pups-professional-dog-grooming-service-/20008257","Driffield"
"Fido & Pooch Professional Dog Grooming","Dog Clipping and Grooming in Burntwood","1 Belvedere Close Burntwood Staffordshire WS7 4YR","+447598471677","https://directory.independent.co.uk/company/fido-andamp-pooch-professional-dog-grooming/19995957","Burntwood"
"Wish Bone Dog Grooming","Dog Clipping and Grooming in Southampton","Loperwood Park Farm Loperwood Lane Old Calmore Calmore Southampton Hampshire SO40 2RT","+447803289958","https://directory.independent.co.uk/company/wish-bone-dog-grooming/19151757","Southampton"
"Scruffs Dog Grooming ","Dog Clipping and Grooming in Heckmondwike","14 Oldfield Lane Heckmondwike West Yorkshire WF16 0JD","1924412114","https://directory.independent.co.uk/company/scruffs-dog-grooming-/6696530","Heckmondwike"
"Dollybags Dog Grooming Studio","Dog Clipping and Grooming in Fareham","22g Middle Road Fareham Hampshire PO14 3EG","+441489576118","https://directory.independent.co.uk/company/dollybags-dog-grooming-studio/7038106","Fareham"
"Waggytails","Dog Clipping and Grooming in Carlisle","Lough House Little Orton Carlisle Cumbria CA5 6EP","+441228576711","https://directory.independent.co.uk/company/waggytails/7037224","Carlisle"
"Sweeney Dogs Grooming Studio","Dog Clipping and Grooming in Rugby","Studio 6, The Locks Hillmorton Rugby CV21 4PP","+447717740097","https://directory.independent.co.uk/company/sweeney-dogs-grooming-studio/6764272","Rugby"
"Absolute Woof Dog Grooming","Dog Clipping and Grooming in Liverpool","11 Glovers Brow Liverpool Merseyside L32 2AE","+441515492050","https://directory.independent.co.uk/company/absolute-woof-dog-grooming/5591312","Liverpool"
"Posh Pooches","Dog Clipping and Grooming in Wallingford","12 Ford Lane Drayton St. Leonard Wallingford Oxfordshire OX10 7AS","+447572662552","https://directory.independent.co.uk/company/posh-pooches/20958057","Wallingford"
"Gentles Touch Dog Grooming","Dog Clipping and Grooming in Leigh (Lancashire)","233 Chapel Street Leigh Lancashire WN7 2AP","+447506466141","https://directory.independent.co.uk/company/gentles-touch-dog-grooming/20943457","Leigh"
"Mucky Mutz to Clean Cuts","Dog Clipping and Grooming in Worthing (West Sussex)","12 Broadwater Boulevard Worthing West Sussex BN14 8JE","+441903920254","https://directory.independent.co.uk/company/mucky-mutz-to-clean-cuts/20799857","Worthing"
